1,1475,US-OR,42.32,-122.83
3,728,BR-MT,-14.59,-60.13
4,589,AU-SA,-33.71,136.51
5,31,ID-MA,-3.86,126.70
7,5440,NP-P1,27.44,86.75
8,110,US-NJ,40.44,-74.50
9,1350,US-WI,45.65,-92.37
11,4420,IN-HP,31.49,77.71
12,344,LA-AT,14.79,107.05
13,597,NZ-CAN,-42.77,172.89
14,935,BR-PI,-7.74,-42.30
15,723,US-NC,35.91,-79.62
16,383,VE-Z,4.30,-66.30
17,5,US-AK,59.47,-151.57
18,83,US-CA,33.67,-117.87
19,340,RU-VLA,56.41,40.98
20,2880,CA-AB,53.55,-115.26
21,2352,RU-CHI,50.24,114.85
22,2100,BR-SP,-22.23,-49.82
24,16,CR-P,9.93,-84.99
25,202,US-DE,38.89,-75.39
26,319,US-AR,33.80,-93.36
27,3900,ZM-U-A,-14.95,28.12
28,859,UZ-JI,40.91,68.21
29,3445,BR-DF,-15.70,-47.92
30,1162,US-CA,34.16,-118.92
31,602,CA-ON,46.18,-82.83
33,361,BR-MT,-17.19,-57.03
34,3101,US-NE,40.83,-101.16
35,2927,NA-KH,-23.54,15.84
36,16,VC-06,12.60,-61.41
37,440,BR-PA,-2.57,-54.73
38,605,US-IL,39.59,-89.59
39,800,DE-BW,49.23,9.42
44,6119,ID-PP,-4.22,139.41
45,853,BR-MT,-10.16,-56.98
46,2703,US-KS,39.83,-100.54
47,350,IT-25,45.29,8.80
48,1145,US-WI,44.16,-89.51
49,57,MX-CHP,14.73,-92.33
50,13,SE-U,59.72,17.72
52,872,HK-NT,22.31,114.01
53,867,US-MO,39.46,-92.43
55,50,US-FL,28.96,-82.22
56,1,DK-82,55.89,10.61
57,4506,US-NM,31.91,-108.53
58,1600,US-NY,42.00,-77.10
59,94,US-FL,29.10,-81.31
62,492,MX-TAM,22.87,-98.39
64,328,FR-NOR,49.26,1.66
65,7493,US-UT,37.53,-111.71
66,1317,US-CA,38.86,-123.59
67,275,GB-ENG,51.09,0.99
69,971,BR-MT,-12.29,-57.02
71,1401,US-MN,46.50,-95.34
72,1919,BR-SP,-23.44,-47.44
73,330,IN-KL,11.92,75.55
74,530,US-IL,40.49,-89.68
75,577,JP-13,35.64,139.75
76,10,EE-67,58.15,24.00
77,1520,US-CA,34.52,-118.60
78,528,JP-23,35.18,137.20
80,4672,CN-65,37.04,79.86
81,150,CL-LL,-42.31,-73.14
82,1900,US-AR,36.00,-93.57
83,1988,BR-RR,4.70,-60.27
85,865,FR-OCC,43.34,0.53
86,14730,CN-54,31.41,91.98
87,2565,BR-SP,-23.54,-46.64
88,157,DE-NW,51.85,6.81
89,8,US-NJ,39.32,-75.21
90,286,US-TN,36.32,-89.47
91,1759,BR-MS,-19.41,-55.17
92,785,SE-Q,58.17,13.59
93,454,US-PA,40.60,-75.56
94,203,IN-MM,16.00,73.53
96,30,CA-BC,49.17,-122.56
98,11001,NP-P4,28.64,84.09
99,5896,US-ID,45.27,-115.68
100,895,US-WI,44.89,-91.87
101,1325,FR-OCC,43.11,0.62
102,250,US-OR,45.44,-122.89
103,190,US-OR,45.32,-123.05
104,1710,CA-SK,51.82,-102.38
105,1313,UZ-SU,37.69,67.05
106,1722,BR-MS,-20.57,-54.72
107,1062,US-OH,40.97,-81.10
108,105,ZA-WC,-34.55,20.08
109,213,NO-XX,67.04,7.05
110,5680,PG-SHM,-6.15,143.66
112,23,AU-NSW,-33.84,151.09
113,572,CO-CES,9.56,-73.29
114,10,FM-PNI,6.99,158.21
115,320,US-GA,32.17,-83.97
119,2054,BR-MT,-13.63,-59.80
120,1812,MX-COA,28.37,-101.62
121,1762,BR-MS,-18.68,-53.28
122,1434,BR-MS,-20.24,-53.79
123,21,BE-VAN,51.17,4.67
124,696,JP-45,31.99,130.99
125,242,US-AR,35.71,-91.21
127,2646,US-AK,63.09,-147.47
128,670,US-IL,40.04,-87.78
129,1788,BR-MT,-13.75,-54.80
131,2382,JP-20,35.74,137.92
134,922,US-MO,37.92,-90.58
135,1394,BR-MT,-13.39,-57.62
136,1040,US-TX,34.05,-98.43
137,89,AU-NT,-16.40,131.00
139,434,AU-VIC,-37.67,144.84
140,616,US-IL,41.36,-88.86
141,1312,CG-2,-3.68,13.20
142,1345,US-OH,40.76,-82.55
144,3517,US-TX,31.29,-105.85
145,75,CA-BC,50.33,-125.45
146,931,CA-ON,45.32,-79.26
147,1140,US-OK,36.29,-97.59
149,900,US-GA,33.20,-84.38
150,4830,TZ-13,-1.29,34.42
151,5371,US-NM,33.65,-105.90
152,27,CO-ANT,6.98,-76.81
153,535,BR-MA,-5.62,-45.27
154,570,US-IL,38.89,-89.56
155,271,US-MA,42.09,-71.26
156,1660,CA-SK,52.65,-105.76
157,12,PH-LEY,10.38,124.76
158,210,BR-SC,-26.85,-49.27
159,1903,RU-CHI,49.68,118.03
160,2198,BR-GO,-13.01,-46.71
162,15,PS-GY,8.95,-77.73
163,1558,GR-D,39.70,20.82
164,991,DE-TH,50.97,10.73
165,7608,BT-15,27.45,89.66
166,747,US-IN,40.57,-87.10
167,41,CO-COR,8.82,-75.83
170,915,US-OH,41.17,-82.06
171,370,CA-ON,43.62,-79.56
172,30,US-NC,34.75,-76.91
174,2500,BR-SP,-23.42,-46.38
175,98,IR-22,25.65,58.87
176,4300,US-NE,41.04,-102.96
177,590,US-PA,40.88,-76.98
178,1050,US-MO,37.47,-93.93
180,172,SE-E,58.41,15.68
182,593,US-CA,35.91,-120.06
183,1008,UZ-SI,40.26,68.31
184,1213,US-IA,43.16,-93.33
186,1414,US-AZ,33.63,-112.77
187,2822,ES-CM,39.10,-1.72
188,1,GB-SCT,57.87,-4.02
189,1459,AR-X,-31.35,-64.21
190,20,PA-1,9.52,-82.60
191,311,JP-38,33.86,133.06
192,812,CO-CAQ,1.54,-73.93
193,660,US-OH,41.82,-80.90
194,78,ID-MA,-5.76,132.76
195,278,AR-B,-35.84,-61.86
197,253,PY-1,-23.44,-57.43
198,1300,US-AZ,32.99,-111.92
199,62,US-CA,39.35,-122.09
200,1500,US-PA,41.49,-79.83
201,2001,AZ-XCI,39.90,46.79
202,2293,TJ-KT,37.99,69.81
203,787,IT-21,45.54,8.28
204,5507,US-UT,40.10,-112.43
206,1950,ZW-MN,-17.65,27.32
209,17,US-TX,29.75,-94.69
210,540,US-PA,40.99,-76.90
211,2710,US-WV,38.43,-79.83
212,4376,US-WY,44.75,-108.70
213,780,US-NH,43.07,-71.61
214,338,BR-CE,-3.74,-38.47
215,5023,US-ID,43.62,-111.69
216,2350,US-TX,31.07,-100.00
217,0,CA-BC,51.86,-127.87
218,2311,CA-AB,53.54,-113.98
219,335,FR-IDF,49.05,2.35
222,91,AU-QLD,-19.38,140.06
223,856,US-TX,32.75,-97.66
224,1825,US-CA,34.96,-116.68
225,880,US-IN,39.98,-85.74
227,7582,MX-DIF,19.44,-99.20
228,2100,ES-CM,40.66,-3.17
229,652,US-IL,39.65,-89.92
230,4347,CM-OU,5.54,10.35
231,7,PH-CAS,13.81,123.32
232,226,GB-ENG,51.52,-2.59
233,4576,US-OR,42.65,-118.99
234,624,US-KY,37.81,-85.54
235,320,US-NJ,40.64,-74.98
236,135,BR-AP,-0.83,-52.50
237,29,AR-S,-32.72,-60.73
238,364,AR-H,-25.93,-60.63
239,88,NO-21,78.25,15.47
240,613,FR-PAC,43.38,5.36
242,930,US-IN,41.48,-85.59
243,463,JP-13,35.75,139.35
244,700,IN-UP,28.71,77.36
245,664,US-TX,32.69,-97.11
247,380,KR-44,36.77,126.29
248,2,JP-35,33.78,132.26
249,45,US-LA,30.44,-92.27
250,408,UA-12,48.04,33.21
251,240,US-NJ,40.67,-74.69
252,870,US-IN,39.83,-86.43
253,2510,US-CA,35.59,-117.63
254,650,US-IL,39.15,-89.48
255,725,US-OH,41.33,-84.56
256,2320,CA-AB,53.52,-113.61
257,1565,PG-JI,-5.36,144.45
258,2329,CL-RM,-33.42,-70.62
259,5604,NA-KH,-23.12,16.73
260,2110,BR-PI,-9.40,-45.13
262,6102,BR-SP,-22.75,-45.55
263,420,US-TX,28.93,-98.52
264,3780,AF-KHO,33.36,69.96
265,213,US-CA,36.22,-119.80
266,610,US-OH,38.85,-83.23
269,2365,UG-W,2.33,31.50
270,5175,US-MT,45.59,-111.15
271,2340,US-CA,34.86,-117.96
272,4659,US-MT,45.72,-111.04
274,475,VE-C,6.92,-68.15
275,72,US-TX,29.48,-95.64
276,800,BR-PA,-4.30,-47.58
280,234,US-AR,34.77,-92.02
281,578,US-NC,36.50,-79.12
282,289,ID-PA,-2.58,140.52
283,1220,US-OH,41.07,-81.75
284,66,CV-S,15.05,-24.34
285,393,VE-V,10.00,-72.58
286,1350,PG-ESW,-3.55,142.85
287,4000,ZM-06,-12.22,27.49
288,2649,CA-AB,53.28,-114.45
289,6472,US-NM,35.51,-108.79
290,292,US-CA,37.91,-122.04
291,23,BR-SP,-23.77,-45.40
292,3566,US-NM,32.98,-104.49
293,470,US-TX,32.65,-96.33
294,850,US-IN,39.86,-85.98
295,1962,US-ND,48.67,-102.05
296,750,US-OH,39.69,-83.07
297,3977,MX-OAX,16.64,-97.57
298,692,CN-43,29.10,110.44
299,2301,US-AR,36.05,-93.37
300,500,US-TN,36.47,-88.09
301,945,RU-SAR,51.54,45.85
302,800,AU-WA,-18.68,128.59
304,63,BR-SC,-27.54,-48.62
306,150,FR-NOR,49.31,-0.45
307,649,TM-L,38.93,63.56
308,65,AR-E,-32.94,-58.56
309,1100,CA-BC,49.04,-119.49
310,242,AR-E,-31.79,-60.48
312,1080,US-AR,34.55,-94.20
313,48,US-CA,38.87,-121.49
314,13,BR-RS,-29.93,-51.18
315,542,AU-QLD,-22.91,139.90
316,1604,DE-BY,48.44,10.24
317,420,RU-MOW,55.82,37.43
319,5112,CN-51,27.99,102.18
320,528,AU-SA,-26.77,132.02
322,375,US-NC,35.73,-78.63
323,685,US-TX,29.48,-98.43
324,74,VI-U-A,17.70,-64.80
326,6276,US-MT,45.26,-111.30
328,50,US-WA,48.47,-123.02
330,16,PE-LIM,-10.67,-77.83
331,3163,BW-NW,-19.41,22.55
332,1766,DE-BW,48.22,9.91
333,720,US-IL,40.72,-88.77
334,295,GA-4,-1.85,11.06
336,223,AU-WA,-24.31,114.32
338,92,AU-NSW,-34.87,150.60
339,463,US-VA,37.88,-78.06
341,165,GR-L,36.58,26.38
342,617,BR-AC,-9.22,-68.84
344,6069,MX-QUE,20.61,-100.40
345,2051,BR-SP,-23.58,-48.28
346,1140,US-WI,44.27,-89.44
347,1407,US-TX,30.58,-98.83
348,10,US-NC,35.55,-76.62
350,100,US-LA,30.64,-92.42
351,55,US-MD,38.44,-75.40
352,232,US-AR,34.33,-92.35
353,24,US-MS,30.39,-89.17
354,10,US-LA,29.77,-93.35
355,2137,CF-HM,5.40,26.49
358,20,US-CA,38.26,-122.43
359,653,BR-RR,4.59,-60.18
362,800,US-OH,39.75,-84.20
364,3,US-MD,38.13,-75.76
365,1500,IS-7,65.19,-16.19
366,190,EC-G,-2.17,-79.23
367,1825,US-NY,42.16,-77.43
368,125,GB-ENG,52.09,0.13
369,1562,BR-MT,-13.52,-55.08
370,3250,UG-N,3.64,31.76
371,4175,TZ-08,-4.55,30.10
372,4145,US-CA,32.70,-116.36
373,4933,US-ID,44.91,-115.49
374,150,US-FL,28.52,-81.38
375,177,JP-47,26.46,127.92
376,814,US-NY,44.39,-75.07
377,1298,US-WI,44.77,-90.39
378,269,US-PA,40.12,-75.34
379,90,US-TX,29.75,-95.37
380,3400,CA-AB,49.14,-112.08
381,3823,US-OR,44.76,-119.10
382,2907,BR-SP,-23.56,-46.65
384,640,VE-P,9.55,-69.24
385,811,SZ-LU,-26.11,31.92
386,1160,US-OR,44.82,-122.68
388,1875,US-CA,38.58,-122.43
389,5490,US-UT,37.80,-113.93
390,126,AU-NT,-13.26,130.73
391,765,US-TX,33.38,-97.24
392,734,MR-07,20.51,-13.04
393,720,US-OK,36.14,-95.96
394,200,US-AL,31.10,-86.06
395,761,CZ-ZL,49.31,17.57
396,890,US-IL,42.12,-88.38
397,2102,US-AK,68.13,-151.74
399,1060,BR-MT,-15.19,-59.94
400,148,UA-65,46.68,32.51
401,4564,US-WY,41.83,-104.51
402,636,RU-KLU,55.00,35.99
403,312,US-TX,26.82,-98.48
404,705,US-IN,41.20,-86.84
405,1155,US-WA,46.87,-119.13
406,3100,KE-400,-0.11,37.79
409,693,CL-AI,-46.55,-72.22
410,3897,CO-SAN,7.13,-73.18
411,875,DE-NW,50.77,6.28
413,10,US-TX,28.44,-96.45
415,1065,US-IL,42.44,-88.60
416,180,PK-SD,25.68,69.07
417,56,BR-RJ,-22.66,-43.16
418,1201,BR-MS,-22.87,-54.44
419,715,US-IL,40.77,-88.98
422,2320,US-WA,45.88,-120.67
423,5128,EG-JS,28.57,33.95
424,38,MX-YUC,20.93,-89.66
425,690,US-OH,41.38,-83.67
428,1909,BR-SP,-22.75,-49.84
429,82,IT-34,45.02,10.51
431,250,US-OR,44.50,-123.29
432,7,VN-SW,10.05,105.76
433,1680,US-AZ,33.54,-111.43
434,187,US-FL,30.81,-86.64
435,267,AU-WA,-22.39,117.38
436,22,KR-28,37.73,126.23
437,1413,US-MN,46.86,-94.98
438,970,US-OH,39.51,-84.74
439,1083,BF-SMT,13.40,-1.07
440,2280,IR-22,28.17,55.82
442,1910,US-ND,47.51,-100.92
446,980,US-OK,34.18,-98.31
447,5600,KE-700,-0.14,36.02
448,785,US-TX,33.30,-97.25
449,551,US-NH,44.14,-72.02
