6,1169,radio/tv,skilled
48,5951,radio/tv,skilled
12,2096,education,unskilled resident
42,7882,furniture/equipment,skilled
24,4870,new car,skilled
36,9055,education,unskilled resident
24,2835,furniture/equipment,skilled
36,6948,used car,high qualif/self emp/mgmt
12,3059,radio/tv,unskilled resident
30,5234,new car,high qualif/self emp/mgmt
12,1295,new car,skilled
48,4308,business,skilled
12,1567,radio/tv,skilled
24,1199,new car,unskilled resident
15,1403,new car,skilled
24,1282,radio/tv,unskilled resident
24,2424,radio/tv,skilled
30,8072,business,skilled
24,12579,used car,high qualif/self emp/mgmt
24,3430,radio/tv,skilled
9,2134,new car,skilled
6,2647,radio/tv,skilled
10,2241,new car,unskilled resident
12,1804,used car,skilled
10,2069,furniture/equipment,skilled
6,1374,furniture/equipment,unskilled resident
6,426,radio/tv,unskilled resident
12,409,radio/tv,skilled
7,2415,radio/tv,skilled
60,6836,business,skilled
18,1913,business,skilled
24,4020,furniture/equipment,skilled
18,5866,new car,skilled
12,1264,business,unskilled resident
12,1474,furniture/equipment,high qualif/self emp/mgmt
45,4746,radio/tv,unskilled resident
48,6110,education,skilled
18,2100,radio/tv,skilled
10,1225,domestic appliance,skilled
9,458,radio/tv,skilled
30,2333,radio/tv,high qualif/self emp/mgmt
12,1158,radio/tv,skilled
18,6204,repairs,unskilled resident
30,6187,used car,skilled
48,6143,used car,unskilled resident
11,1393,new car,high qualif/self emp/mgmt
36,2299,radio/tv,skilled
6,1352,used car,unemp/unskilled non res
11,7228,new car,unskilled resident
12,2073,radio/tv,skilled
24,2333,furniture/equipment,unskilled resident
27,5965,used car,high qualif/self emp/mgmt
12,1262,radio/tv,skilled
18,3378,used car,skilled
36,2225,new car,skilled
6,783,new car,unskilled resident
12,6468,radio/tv,high qualif/self emp/mgmt
36,9566,radio/tv,skilled
18,1961,new car,high qualif/self emp/mgmt
36,6229,furniture/equipment,unskilled resident
9,1391,business,skilled
15,1537,radio/tv,skilled
36,1953,business,high qualif/self emp/mgmt
48,14421,business,skilled
24,3181,radio/tv,skilled
27,5190,repairs,skilled
12,2171,radio/tv,skilled
12,1007,new car,skilled
36,1819,education,skilled
36,2394,radio/tv,skilled
36,8133,used car,skilled
7,730,radio/tv,unskilled resident
8,1164,other,high qualif/self emp/mgmt
42,5954,business,unskilled resident
36,1977,education,high qualif/self emp/mgmt
12,1526,used car,high qualif/self emp/mgmt
42,3965,radio/tv,skilled
11,4771,radio/tv,skilled
54,9436,used car,unskilled resident
30,3832,furniture/equipment,skilled
24,5943,radio/tv,skilled
15,1213,radio/tv,skilled
18,1568,business,unskilled resident
24,1755,other,unskilled resident
10,2315,radio/tv,unskilled resident
12,1412,business,high qualif/self emp/mgmt
18,1295,furniture/equipment,skilled
36,12612,education,skilled
18,2249,new car,high qualif/self emp/mgmt
12,1108,repairs,skilled
12,618,radio/tv,skilled
12,1409,used car,skilled
12,797,radio/tv,unskilled resident
24,3617,furniture/equipment,skilled
12,1318,new car,skilled
54,15945,business,skilled
12,2012,education,skilled
18,2622,business,skilled
36,2337,radio/tv,skilled
20,7057,used car,high qualif/self emp/mgmt
24,1469,new car,unskilled resident
36,2323,radio/tv,skilled
6,932,radio/tv,skilled
9,1919,furniture/equipment,skilled
12,2445,used car,skilled
24,11938,other,high qualif/self emp/mgmt
18,6458,new car,high qualif/self emp/mgmt
12,6078,new car,skilled
24,7721,furniture/equipment,skilled
14,1410,business,skilled
6,1449,business,skilled
15,392,education,skilled
18,6260,new car,unskilled resident
36,7855,new car,skilled
12,1680,radio/tv,skilled
48,3578,radio/tv,skilled
42,7174,radio/tv,high qualif/self emp/mgmt
10,2132,furniture/equipment,skilled
33,4281,furniture/equipment,skilled
12,2366,new car,high qualif/self emp/mgmt
21,1835,radio/tv,skilled
24,3868,used car,high qualif/self emp/mgmt
12,1768,furniture/equipment,unskilled resident
10,781,new car,skilled
18,1924,furniture/equipment,skilled
12,2121,new car,skilled
12,701,radio/tv,unskilled resident
12,639,repairs,skilled
12,1860,used car,high qualif/self emp/mgmt
12,3499,new car,skilled
48,8487,new car,skilled
36,6887,education,skilled
15,2708,furniture/equipment,unskilled resident
18,1984,furniture/equipment,skilled
60,10144,radio/tv,skilled
12,1240,radio/tv,skilled
27,8613,used car,skilled
12,766,radio/tv,unskilled resident
15,2728,radio/tv,skilled
12,1881,radio/tv,unskilled resident
6,709,new car,unemp/unskilled non res
36,4795,radio/tv,high qualif/self emp/mgmt
27,3416,radio/tv,high qualif/self emp/mgmt
18,2462,furniture/equipment,skilled
21,2288,furniture/equipment,skilled
48,3566,business,skilled
6,860,new car,skilled
12,682,new car,skilled
36,5371,furniture/equipment,skilled
18,1582,radio/tv,skilled
6,1346,radio/tv,skilled
10,1924,radio/tv,skilled
36,5848,radio/tv,skilled
24,7758,used car,skilled
24,6967,business,high qualif/self emp/mgmt
12,1282,furniture/equipment,skilled
9,1288,repairs,skilled
12,339,retraining,unskilled resident
24,3512,new car,skilled
6,1898,radio/tv,unskilled resident
24,2872,radio/tv,skilled
18,1055,new car,skilled
15,1262,domestic appliance,skilled
10,7308,new car,high qualif/self emp/mgmt
36,909,new car,skilled
6,2978,furniture/equipment,skilled
18,1131,furniture/equipment,skilled
11,1577,furniture/equipment,skilled
24,3972,furniture/equipment,skilled
24,1935,business,skilled
15,950,new car,skilled
12,763,furniture/equipment,skilled
24,2064,furniture/equipment,high qualif/self emp/mgmt
8,1414,radio/tv,skilled
21,3414,education,skilled
30,7485,used car,high qualif/self emp/mgmt
12,2577,furniture/equipment,skilled
6,338,radio/tv,skilled
12,1963,radio/tv,high qualif/self emp/mgmt
21,571,new car,skilled
36,9572,business,skilled
36,4455,business,high qualif/self emp/mgmt
21,1647,new car,unskilled resident
24,3777,furniture/equipment,skilled
18,884,new car,skilled
15,1360,radio/tv,skilled
9,5129,used car,high qualif/self emp/mgmt
16,1175,new car,unemp/unskilled non res
12,674,radio/tv,skilled
18,3244,furniture/equipment,skilled
24,4591,business,high qualif/self emp/mgmt
48,3844,business,unskilled resident
27,3915,business,skilled
6,2108,radio/tv,skilled
45,3031,radio/tv,skilled
9,1501,education,high qualif/self emp/mgmt
6,1382,radio/tv,skilled
12,951,furniture/equipment,skilled
24,2760,used car,skilled
18,4297,furniture/equipment,high qualif/self emp/mgmt
9,936,education,skilled
12,1168,new car,unskilled resident
27,5117,business,skilled
12,902,retraining,skilled
12,1495,new car,unskilled resident
