2404009,2016,31990,31990,2022-07-07,55379
2161751,2010,13990,13990,2022-07-29,101659
2206151,2015,20590,20590,2022-07-20,37331
2121833,2016,14990,14990,2022-07-28,62070
2348067,2011,16990,16990,2022-07-07,56688
2375600,2017,16990,16990,2022-07-03,76640
2298884,2011,15990,15990,2022-07-12,94750
2251848,2014,16590,16590,2022-07-29,22286
2192874,2017,19990,19990,2022-07-20,29003
2392700,2012,18590,18590,2022-07-26,82193
2314966,2015,25990,25990,2022-07-23,97247
2249624,2018,20990,20990,2022-07-30,35941
2321257,2017,19990,19990,2022-07-01,39807
2374298,2019,29990,29990,2022-07-11,27478
2392944,2015,22590,22590,2022-07-02,93153
2433500,2020,37993,37993,2022-07-19,40040
2299732,2015,24590,24590,2022-07-26,75671
2170013,2018,29590,29590,2022-07-29,39804
1819267,2021,47590,47590,2022-07-15,8230
2340957,2018,29990,29990,2022-07-01,31798
2238131,2011,13590,13590,2022-07-29,97039
2376826,2014,56590,56590,2022-07-28,19239
2210046,2013,22590,22590,2022-07-22,91540
2426512,2022,30590,30590,2022-07-23,5783
2251965,2018,30990,30990,2022-07-25,42790
2389083,2014,17590,17590,2022-07-27,65554
2256444,2020,21590,21590,2022-07-14,45115
2332047,2013,12990,12990,2022-07-27,71009
2371678,2015,17590,17590,2022-07-27,66716
2136581,2017,21990,21990,2022-07-26,91049
2415727,2018,22990,22990,2022-07-01,41102
2299842,2011,16590,16590,2022-07-26,79849
2400834,2018,52990,52990,2022-07-03,24091
2301014,2017,19990,19990,2022-07-02,55426
2349063,2018,27590,27590,2022-07-11,17778
2346178,2015,21990,21990,2022-07-18,53890
2443463,2021,25400,25400,2022-07-16,8708
2406716,2016,14590,14590,2022-07-20,79941
2427973,2010,18990,18990,2022-07-30,40169
2404441,2016,20590,20590,2022-07-02,18895
2102949,2014,17990,17990,2022-07-24,29512
2347821,2018,19990,19990,2022-07-21,56141
2409683,2015,20990,20990,2022-07-15,71219
2347883,2017,22990,22990,2022-07-09,37016
2394788,2014,30990,30990,2022-07-07,43003
2295615,2013,14590,14590,2022-07-07,53888
2410207,2022,55590,55590,2022-07-30,5124
2335753,2021,26590,26590,2022-07-09,9631
2256887,2018,18990,18990,2022-07-26,84918
2328880,2015,21590,21590,2022-07-06,39437
2097403,2016,23990,23990,2022-07-21,87823
2173682,2016,15590,15590,2022-07-26,27340
2379479,2015,18990,18990,2022-07-28,70085
2417348,2021,29990,29990,2022-07-16,2133
2327049,2012,19590,19590,2022-07-11,86257
2323359,2015,21990,21990,2022-07-21,37848
2300246,2014,15990,15990,2022-07-11,94675
2347332,2014,16590,16590,2022-07-11,76046
2359429,2013,24990,24990,2022-07-26,45903
2401557,2022,55590,55590,2022-07-18,6612
2330174,2019,21990,21990,2022-07-16,43392
2297817,2013,13990,13990,2022-07-07,90928
2342754,2017,13990,13990,2022-07-27,89969
2408625,2014,17590,17590,2022-07-23,65310
2404445,2022,33990,33990,2022-07-12,3483
2351336,2012,24590,24590,2022-07-16,90164
2404218,2015,18990,18990,2022-07-01,72375
2236045,2020,20590,20590,2022-07-05,24498
2269181,2014,17590,17590,2022-07-14,88106
2420692,2017,27590,27590,2022-07-23,53182
2412816,2020,53694,53694,2022-07-20,25601
2382544,2016,18590,18590,2022-07-09,86512
2151982,2018,18990,18990,2022-07-19,29394
2427638,2022,32590,32590,2022-07-20,11606
2370719,2020,21990,21990,2022-07-01,46502
2198579,2013,19590,19590,2022-07-24,34267
2154266,2017,23590,23590,2022-07-21,21689
2404888,2015,17990,17990,2022-07-30,74504
2270280,2016,19990,19990,2022-07-07,21641
